,Contract Name,Strike,Last Price,Bid,Ask,Volume
0,LULU240126C00365000,365.0,146.13,114.9,124.0,-
1,LULU240126C00400000,400.0,82.77,72.65,77.05,-
2,LULU240126C00405000,405.0,72.96,68.3,73.35,2
3,LULU240126C00410000,410.0,67.6,63.5,67.35,1
4,LULU240126C00415000,415.0,93.45,57.0,63.95,1
5,LULU240126C00425000,425.0,87.15,48.1,53.2,1
6,LULU240126C00430000,430.0,40.7,61.9,64.6,2
7,LULU240126C00435000,435.0,79.4,45.7,53.55,1
8,LULU240126C00440000,440.0,39.27,33.1,38.95,1
9,LULU240126C00445000,445.0,40.56,28.1,33.45,1
10,LULU240126C00450000,450.0,29.6,23.35,28.7,3
11,LULU240126C00455000,455.0,25.27,19.0,22.4,1
12,LULU240126C00460000,460.0,20.5,15.05,17.3,3
13,LULU240126C00465000,465.0,12.49,10.7,11.5,2
14,LULU240126C00470000,470.0,8.0,6.65,7.15,11
15,LULU240126C00472500,472.5,5.1,5.1,5.4,11
16,LULU240126C00475000,475.0,3.25,3.7,3.9,76
17,LULU240126C00477500,477.5,2.45,2.53,2.73,172
18,LULU240126C00480000,480.0,1.43,1.67,1.8,143
19,LULU240126C00482500,482.5,0.92,1.03,1.18,73
20,LULU240126C00485000,485.0,0.74,0.62,0.75,1300
21,LULU240126C00487500,487.5,0.4,0.44,0.5,80
22,LULU240126C00490000,490.0,0.31,0.25,0.34,702
23,LULU240126C00492500,492.5,0.21,0.14,0.27,27
24,LULU240126C00495000,495.0,0.15,0.11,0.24,77
25,LULU240126C00497500,497.5,0.12,0.09,0.16,102
26,LULU240126C00500000,500.0,0.09,0.08,0.1,226
27,LULU240126C00502500,502.5,0.07,0.02,0.17,104
28,LULU240126C00505000,505.0,0.08,0.04,0.1,348
29,LULU240126C00507500,507.5,0.06,0.0,0.44,328
30,LULU240126C00510000,510.0,0.05,0.04,0.14,39
31,LULU240126C00512500,512.5,0.06,0.0,0.12,10
32,LULU240126C00515000,515.0,0.06,0.0,0.5,1
33,LULU240126C00517500,517.5,0.53,0.0,0.5,3
34,LULU240126C00520000,520.0,0.02,0.03,0.05,13
35,LULU240126C00525000,525.0,0.49,0.0,0.5,28
36,LULU240126C00530000,530.0,0.72,0.0,0.5,25
37,LULU240126C00535000,535.0,0.69,0.0,1.5,6
38,LULU240126C00540000,540.0,0.01,0.0,1.5,6
39,LULU240126C00545000,545.0,0.11,0.0,1.5,1
40,LULU240126C00550000,550.0,0.14,0.0,0.05,5
41,LULU240126C00555000,555.0,0.01,0.0,1.5,2
42,LULU240126C00560000,560.0,0.2,0.0,1.42,3
43,LULU240126C00565000,565.0,0.21,0.0,1.5,1
44,LULU240126C00570000,570.0,0.78,0.0,0.78,1
45,LULU240126C00575000,575.0,1.11,0.0,1.26,-
46,LULU240126C00580000,580.0,0.73,0.0,1.2,1
47,LULU240126C00590000,590.0,0.01,0.0,1.5,1
48,LULU240126C00600000,600.0,0.37,0.0,1.5,1
