,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,AZN240126C00062000,62.0,4.64,5.15,5.3,13,0.0842741935483871
1,AZN240126C00064000,64.0,2.9,3.15,3.3,4,0.050390624999999994
2,AZN240126C00065000,65.0,2.42,2.17,2.37,1,0.034923076923076925
3,AZN240126C00066000,66.0,1.78,1.16,1.35,10,0.019015151515151513
4,AZN240126C00067000,67.0,0.24,0.25,0.32,14,0.004253731343283582
5,AZN240126C00068000,68.0,0.01,0.01,0.03,31,0.00029411764705882356
6,AZN240126C00069000,69.0,0.02,0.0,0.2,60,0.0014492753623188406
7,AZN240126C00070000,70.0,0.04,0.0,0.1,16,0.0007142857142857143
8,AZN240126C00071000,71.0,0.01,0.0,0.04,1,0.00028169014084507044
9,AZN240126C00072000,72.0,0.02,0.0,0.04,4,0.0002777777777777778
