,Contract Name,Strike,Last Price,Bid,Ask,Volume
0,LULU240126P00300000,300.0,0.09,0.0,1.49,-
1,LULU240126P00345000,345.0,0.06,0.0,0.2,-
2,LULU240126P00355000,355.0,0.1,0.0,0.2,-
3,LULU240126P00365000,365.0,0.05,0.0,0.1,1
4,LULU240126P00370000,370.0,0.05,0.0,1.5,4
5,LULU240126P00375000,375.0,0.25,0.0,0.26,1
6,LULU240126P00380000,380.0,0.31,0.0,0.41,-
7,LULU240126P00390000,390.0,0.11,0.0,0.19,7
8,LULU240126P00395000,395.0,0.08,0.0,0.35,1
9,LULU240126P00400000,400.0,0.14,0.0,0.1,4
10,LULU240126P00405000,405.0,0.17,0.02,0.43,1
11,LULU240126P00410000,410.0,0.06,0.0,0.27,20
12,LULU240126P00415000,415.0,0.2,0.0,1.5,22
13,LULU240126P00420000,420.0,0.05,0.0,0.38,28
14,LULU240126P00425000,425.0,0.23,0.01,1.5,66
15,LULU240126P00430000,430.0,0.08,0.04,0.08,5
16,LULU240126P00435000,435.0,0.07,0.01,0.1,55
17,LULU240126P00440000,440.0,0.1,0.04,0.19,39
18,LULU240126P00445000,445.0,0.09,0.05,0.24,43
19,LULU240126P00450000,450.0,0.14,0.12,0.19,233
20,LULU240126P00455000,455.0,0.22,0.15,0.28,216
21,LULU240126P00460000,460.0,0.3,0.22,0.35,852
22,LULU240126P00465000,465.0,0.68,0.43,0.63,353
23,LULU240126P00470000,470.0,1.26,1.04,1.21,202
24,LULU240126P00472500,472.5,1.57,1.46,1.53,109
25,LULU240126P00475000,475.0,2.11,2.0,2.1,108
26,LULU240126P00477500,477.5,2.79,2.73,2.84,58
27,LULU240126P00480000,480.0,3.65,3.55,4.0,158
28,LULU240126P00482500,482.5,4.9,4.8,4.95,21
29,LULU240126P00485000,485.0,6.25,6.15,6.5,30
30,LULU240126P00487500,487.5,8.51,7.7,8.15,2
31,LULU240126P00490000,490.0,10.12,9.05,10.15,6
32,LULU240126P00492500,492.5,26.69,10.45,13.6,-
33,LULU240126P00495000,495.0,15.5,13.35,14.4,2
34,LULU240126P00497500,497.5,18.68,15.4,17.35,1
35,LULU240126P00500000,500.0,19.0,17.85,19.3,20
36,LULU240126P00505000,505.0,21.55,22.1,25.5,15
37,LULU240126P00510000,510.0,43.27,24.6,32.15,29
38,LULU240126P00515000,515.0,45.7,30.9,37.1,9
39,LULU240126P00520000,520.0,51.88,36.1,42.5,6
40,LULU240126P00525000,525.0,56.9,41.1,46.95,6
41,LULU240126P00530000,530.0,47.6,45.6,52.05,8
42,LULU240126P00540000,540.0,43.4,55.75,62.95,1
43,LULU240126P00550000,550.0,52.61,67.75,72.35,-
