,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,BUD240126C00057000,57.0,4.5,4.1,5.2,1,0.081579
1,BUD240126C00059000,59.0,3.8,2.95,3.2,3,0.052119
2,BUD240126C00060000,60.0,2.18,1.8,2.25,6,0.03375
3,BUD240126C00061000,61.0,1.3,0.7,1.25,2,0.015984
4,BUD240126C00062000,62.0,0.27,0.15,0.25,4,0.003226
5,BUD240126C00063000,63.0,0.05,0.0,0.05,6,0.000397
6,BUD240126C00064000,64.0,0.1,0.0,0.05,13,0.000391
7,BUD240126C00065000,65.0,0.12,0.0,0.75,6,0.005769
8,BUD240126C00066000,66.0,0.05,0.0,0.05,1,0.000379
9,BUD240126C00067000,67.0,0.5,0.0,0.05,7,0.000373
