,Contract Name,Strike,Last Price,Bid,Ask,Volume
0,LULU240126P00300000,300.0,0.09,0.0,0.38,-
1,LULU240126P00345000,345.0,0.06,0.0,0.17,-
2,LULU240126P00355000,355.0,0.05,0.0,0.1,1
3,LULU240126P00365000,365.0,0.05,0.0,0.1,1
4,LULU240126P00370000,370.0,0.05,0.0,0.19,4
5,LULU240126P00375000,375.0,0.25,0.0,0.19,1
6,LULU240126P00380000,380.0,0.31,0.0,0.41,-
7,LULU240126P00390000,390.0,0.11,0.0,0.1,7
8,LULU240126P00395000,395.0,0.08,0.0,0.21,1
9,LULU240126P00400000,400.0,0.14,0.0,0.1,4
10,LULU240126P00405000,405.0,0.17,0.0,0.2,1
11,LULU240126P00410000,410.0,0.06,0.01,0.25,20
12,LULU240126P00415000,415.0,0.06,0.0,0.11,2
13,LULU240126P00420000,420.0,0.05,0.0,0.21,28
14,LULU240126P00425000,425.0,0.23,0.0,1.5,66
15,LULU240126P00430000,430.0,0.05,0.0,0.09,1
16,LULU240126P00435000,435.0,0.07,0.02,0.15,55
17,LULU240126P00440000,440.0,0.07,0.02,0.25,15
18,LULU240126P00445000,445.0,0.09,0.05,0.12,26
19,LULU240126P00450000,450.0,0.14,0.11,0.14,157
20,LULU240126P00455000,455.0,0.18,0.15,0.21,104
21,LULU240126P00460000,460.0,0.3,0.27,0.33,197
22,LULU240126P00465000,465.0,0.66,0.59,0.69,154
23,LULU240126P00470000,470.0,1.4,1.35,1.48,115
24,LULU240126P00472500,472.5,2.65,1.96,2.13,86
25,LULU240126P00475000,475.0,3.0,2.82,2.98,114
26,LULU240126P00477500,477.5,4.01,3.95,4.15,54
27,LULU240126P00480000,480.0,4.95,5.25,5.6,77
28,LULU240126P00482500,482.5,7.54,6.85,7.45,8
29,LULU240126P00485000,485.0,9.15,8.65,9.65,10
30,LULU240126P00487500,487.5,10.83,10.75,12.75,2
31,LULU240126P00490000,490.0,11.29,12.5,13.75,4
32,LULU240126P00492500,492.5,26.69,14.4,16.85,-
33,LULU240126P00495000,495.0,19.0,16.7,19.8,6
34,LULU240126P00497500,497.5,18.68,19.05,24.7,1
35,LULU240126P00500000,500.0,19.0,22.15,25.85,20
36,LULU240126P00505000,505.0,21.55,25.85,31.6,15
37,LULU240126P00510000,510.0,43.27,30.7,36.9,29
38,LULU240126P00515000,515.0,45.7,34.85,42.0,9
39,LULU240126P00520000,520.0,43.39,40.6,46.8,2
40,LULU240126P00525000,525.0,48.42,44.3,51.9,2
41,LULU240126P00530000,530.0,47.6,49.0,56.9,8
42,LULU240126P00540000,540.0,43.4,60.15,67.0,1
43,LULU240126P00550000,550.0,52.61,67.75,72.35,-
