,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,LULU240126P00300000,300.0,0.09,0.0,0.07,-,0.00011666666666666668
1,LULU240126P00345000,345.0,0.06,0.0,0.2,-,0.0002898550724637681
2,LULU240126P00355000,355.0,0.05,0.0,0.2,1,0.00028169014084507044
3,LULU240126P00365000,365.0,0.02,0.0,0.02,2,2.7397260273972603e-05
4,LULU240126P00370000,370.0,0.05,0.0,0.02,4,2.7027027027027027e-05
5,LULU240126P00375000,375.0,0.25,0.0,0.01,1,1.3333333333333333e-05
6,LULU240126P00380000,380.0,0.31,0.0,0.41,-,0.0005394736842105263
7,LULU240126P00390000,390.0,0.01,0.0,0.01,3,1.2820512820512822e-05
8,LULU240126P00395000,395.0,0.08,0.0,0.11,1,0.00013924050632911392
9,LULU240126P00400000,400.0,0.14,0.0,0.1,4,0.000125
10,LULU240126P00405000,405.0,0.17,0.0,1.05,2,0.0012962962962962963
11,LULU240126P00410000,410.0,0.06,0.0,0.14,10,0.0001707317073170732
12,LULU240126P00415000,415.0,0.06,0.0,0.35,2,0.0004216867469879518
13,LULU240126P00420000,420.0,0.05,0.0,0.15,11,0.00017857142857142857
14,LULU240126P00425000,425.0,0.23,0.0,0.06,66,7.058823529411764e-05
15,LULU240126P00430000,430.0,0.25,0.0,0.17,1,0.00019767441860465116
16,LULU240126P00435000,435.0,0.02,0.0,0.12,6,0.00013793103448275863
17,LULU240126P00440000,440.0,0.03,0.0,0.03,17,3.409090909090909e-05
18,LULU240126P00445000,445.0,0.02,0.01,0.17,31,0.00020224719101123598
19,LULU240126P00450000,450.0,0.02,0.01,0.07,190,8.888888888888889e-05
20,LULU240126P00455000,455.0,0.07,0.01,0.16,257,0.00018681318681318683
21,LULU240126P00460000,460.0,0.2,0.1,0.35,262,0.0004891304347826086
22,LULU240126P00465000,465.0,0.35,0.29,0.38,426,0.0007204301075268817
23,LULU240126P00470000,470.0,1.05,0.92,1.12,287,0.0021702127659574467
24,LULU240126P00472500,472.5,2.13,1.7,2.0,91,0.003915343915343915
25,LULU240126P00475000,475.0,5.14,2.83,3.1,158,0.006242105263157894
26,LULU240126P00477500,477.5,4.92,4.35,4.8,24,0.009581151832460732
27,LULU240126P00480000,480.0,6.55,5.65,7.05,29,0.013229166666666665
28,LULU240126P00482500,482.5,11.23,8.2,9.05,1,0.017875647668393783
29,LULU240126P00485000,485.0,15.75,10.55,12.3,5,0.023556701030927836
30,LULU240126P00487500,487.5,13.46,12.6,17.6,6,0.030974358974358976
31,LULU240126P00490000,490.0,18.19,14.9,18.8,6,0.03438775510204082
32,LULU240126P00492500,492.5,26.69,16.45,22.4,-,0.03944162436548223
33,LULU240126P00495000,495.0,20.34,19.2,24.7,1,0.044343434343434344
34,LULU240126P00497500,497.5,18.68,22.85,27.15,1,0.05025125628140704
35,LULU240126P00500000,500.0,25.0,23.65,29.2,1,0.052849999999999994
36,LULU240126P00505000,505.0,21.55,28.75,34.25,15,0.062376237623762376
37,LULU240126P00510000,510.0,43.27,34.65,39.3,29,0.0725
38,LULU240126P00515000,515.0,45.7,39.8,44.45,9,0.08179611650485437
39,LULU240126P00520000,520.0,46.0,43.95,50.5,9,0.0908173076923077
40,LULU240126P00525000,525.0,48.42,50.4,54.4,2,0.0998095238095238
41,LULU240126P00530000,530.0,47.6,54.9,60.5,25,0.1088679245283019
42,LULU240126P00540000,540.0,43.4,65.3,69.55,1,0.1248611111111111
43,LULU240126P00550000,550.0,52.61,67.75,72.35,-,0.12736363636363635
