,Contract Name,Strike,Last Price,Bid,Ask,Volume
0,LULU240126C00365000,365.0,146.13,114.9,124.0,-
1,LULU240126C00400000,400.0,82.77,78.5,84.75,-
2,LULU240126C00405000,405.0,68.86,85.4,90.0,2
3,LULU240126C00410000,410.0,67.6,69.45,75.9,1
4,LULU240126C00415000,415.0,93.45,62.5,70.0,1
5,LULU240126C00425000,425.0,87.15,54.45,59.2,1
6,LULU240126C00430000,430.0,40.7,61.9,64.6,2
7,LULU240126C00435000,435.0,79.4,45.7,53.55,1
8,LULU240126C00440000,440.0,36.6,40.15,44.05,12
9,LULU240126C00445000,445.0,40.56,35.7,38.95,1
10,LULU240126C00450000,450.0,29.6,29.1,34.2,3
11,LULU240126C00455000,455.0,25.27,23.6,29.65,1
12,LULU240126C00460000,460.0,20.5,21.75,23.2,3
13,LULU240126C00465000,465.0,19.7,17.1,18.45,4
14,LULU240126C00470000,470.0,11.8,12.95,14.0,2
15,LULU240126C00472500,472.5,10.38,10.9,12.35,37
16,LULU240126C00475000,475.0,8.96,9.0,10.45,52
17,LULU240126C00477500,477.5,7.0,7.45,7.7,90
18,LULU240126C00480000,480.0,6.03,5.85,6.1,211
19,LULU240126C00482500,482.5,4.65,4.55,4.75,202
20,LULU240126C00485000,485.0,3.5,3.4,3.6,256
21,LULU240126C00487500,487.5,2.52,2.47,2.91,210
22,LULU240126C00490000,490.0,1.84,1.76,1.96,523
23,LULU240126C00492500,492.5,1.25,1.15,1.58,29
24,LULU240126C00495000,495.0,0.95,0.9,1.02,133
25,LULU240126C00497500,497.5,0.68,0.56,0.79,173
26,LULU240126C00500000,500.0,0.45,0.42,0.53,481
27,LULU240126C00502500,502.5,0.24,0.26,0.39,118
28,LULU240126C00505000,505.0,0.2,0.05,0.28,340
29,LULU240126C00507500,507.5,0.22,0.05,0.42,295
30,LULU240126C00510000,510.0,0.16,0.09,0.2,82
31,LULU240126C00512500,512.5,0.23,0.02,0.15,1
32,LULU240126C00515000,515.0,0.15,0.01,0.15,15
33,LULU240126C00517500,517.5,0.53,0.0,0.53,3
34,LULU240126C00520000,520.0,0.08,0.0,0.15,12
35,LULU240126C00525000,525.0,0.49,0.0,0.49,28
36,LULU240126C00530000,530.0,0.72,0.0,0.12,25
37,LULU240126C00535000,535.0,0.69,0.0,0.3,6
38,LULU240126C00540000,540.0,0.01,0.0,1.5,6
39,LULU240126C00545000,545.0,0.11,0.0,1.5,1
40,LULU240126C00550000,550.0,0.14,0.0,0.16,5
41,LULU240126C00555000,555.0,0.01,0.0,1.49,2
42,LULU240126C00560000,560.0,0.2,0.0,1.09,3
43,LULU240126C00565000,565.0,0.21,0.0,1.5,1
44,LULU240126C00570000,570.0,0.19,0.0,1.5,1
45,LULU240126C00575000,575.0,1.11,0.0,1.49,-
46,LULU240126C00580000,580.0,0.16,0.0,1.49,2
47,LULU240126C00590000,590.0,0.01,0.0,1.5,1
48,LULU240126C00600000,600.0,0.37,0.0,0.35,1
